t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
2100		-229999942.7	-279999965	-69999976.81	0.056227223	0.034331363	0.022782791		81045341.14	-90842848.43	56678115.5	495.4298502	-402.7904539	798.1482143
2160		-229999939.3	-279999962.9	-69999975.45	0.057836492	0.035310014	0.023438191		81075066.93	-90867015.86	56726004.39	495.2990488	-402.8699986	798.0949434
2220		-229999935.8	-279999960.8	-69999974.04	0.059445915	0.03628854	0.024093839		81104784.87	-90891188.06	56773890.09	495.1682349	-402.9495332	798.0416523
2280		-229999932.3	-279999958.6	-69999972.6	0.061055492	0.03726694	0.024749735		81134494.97	-90915365.03	56821772.59	495.0374085	-403.0290576	797.9883411
2340		-229999928.6	-279999956.4	-69999971.11	0.062665222	0.038245216	0.025405878		81164197.21	-90939546.77	56869651.89	494.9065695	-403.1085719	797.9350097
2400		-229999924.8	-279999954.1	-69999969.59	0.064275106	0.039223367	0.026062269		81193891.6	-90963733.29	56917527.99	494.7757181	-403.188076	797.8816582
2460		-229999921	-279999951.7	-69999968.02	0.065885144	0.040201392	0.026718908		81223578.15	-90987924.57	56965400.89	494.6448542	-403.2675699	797.8282866
2520		-229999917	-279999949.3	-69999966.42	0.067495335	0.041179292	0.027375795		81253256.84	-91012120.63	57013270.58	494.5139779	-403.3470536	797.7748949
2580		-229999913	-279999946.8	-69999964.78	0.06910568	0.042157067	0.028032929		81282927.68	-91036321.45	57061137.08	494.383089	-403.4265272	797.721483
2640		-229999908.8	-279999944.3	-69999963.1	0.070716178	0.043134717	0.028690311		81312590.66	-91060527.04	57109000.37	494.2521877	-403.5059906	797.668051
2700		-229999904.6	-279999941.7	-69999961.37	0.07232683	0.044112241	0.02934794		81342245.79	-91084737.4	57156860.45	494.1212739	-403.5854438	797.6145989
2760		-229999900.3	-279999939.1	-69999959.61	0.073937635	0.04508964	0.030005817		81371893.07	-91108952.53	57204717.33	493.9903476	-403.6648868	797.5611266
